file,model,condition,language_mix,metric,value
01_koramangala_quiet.mp3,deepgram,quiet,hinglish,wer,1.8333333333333333
01_koramangala_quiet.mp3,deepgram,quiet,hinglish,cer,0.8648648648648649
01_koramangala_quiet.mp3,deepgram,quiet,hinglish,locality_strict,0.0
01_koramangala_quiet.mp3,deepgram,quiet,hinglish,locality_fuzzy,1.0
01_koramangala_quiet.mp3,deepgram,quiet,hinglish,edit_distance,3.0
01_koramangala_quiet.mp3,deepgram,quiet,hinglish,latency_ms,2043.920000000071
01_koramangala_quiet.mp3,deepgram,quiet,hinglish,rtf,0.7419452322072995
01_koramangala_quiet.mp3,sarvam,quiet,hinglish,wer,1.8333333333333333
01_koramangala_quiet.mp3,sarvam,quiet,hinglish,cer,0.8648648648648649
01_koramangala_quiet.mp3,sarvam,quiet,hinglish,locality_strict,1.0
01_koramangala_quiet.mp3,sarvam,quiet,hinglish,locality_fuzzy,1.0
01_koramangala_quiet.mp3,sarvam,quiet,hinglish,edit_distance,1.0
01_koramangala_quiet.mp3,sarvam,quiet,hinglish,latency_ms,667.9052000035881
01_koramangala_quiet.mp3,sarvam,quiet,hinglish,rtf,0.24245033010543843
01_koramangala_quiet.mp3,whisper,quiet,hinglish,wer,1.8333333333333333
01_koramangala_quiet.mp3,whisper,quiet,hinglish,cer,0.8648648648648649
01_koramangala_quiet.mp3,whisper,quiet,hinglish,locality_strict,0.0
01_koramangala_quiet.mp3,whisper,quiet,hinglish,locality_fuzzy,1.0
01_koramangala_quiet.mp3,whisper,quiet,hinglish,edit_distance,3.0
01_koramangala_quiet.mp3,whisper,quiet,hinglish,latency_ms,25425.469099998736
01_koramangala_quiet.mp3,whisper,quiet,hinglish,rtf,9.229473548562284
02_indiranagar_quiet.mp3,deepgram,quiet,hinglish,wer,1.8
02_indiranagar_quiet.mp3,deepgram,quiet,hinglish,cer,0.8125
02_indiranagar_quiet.mp3,deepgram,quiet,hinglish,locality_strict,0.0
02_indiranagar_quiet.mp3,deepgram,quiet,hinglish,locality_fuzzy,1.0
