model,condition,locality_strict_acc
deepgram,background_noise,0.0
deepgram,fan_noise,0.0
deepgram,fast,0.3333333333333333
deepgram,normal,0.0
deepgram,outdoor,0.0
deepgram,phone_style,0.5
deepgram,quiet,0.25
deepgram,traffic,0.0
deepgram,tv_noise,0.0
deepgram,whisper,0.0
sarvam,background_noise,0.0
sarvam,fan_noise,0.0
sarvam,fast,0.0
sarvam,normal,0.0
sarvam,outdoor,0.0
sarvam,phone_style,0.0
sarvam,quiet,0.5
sarvam,traffic,0.0
sarvam,tv_noise,0.0
sarvam,whisper,0.0
whisper,background_noise,1.0
whisper,fast,0.3333333333333333
whisper,normal,0.0
whisper,outdoor,0.0
whisper,phone_style,0.5
whisper,quiet,0.0
whisper,traffic,0.0
whisper,tv_noise,0.0
whisper,whisper,0.0
